Name,LightYears,PlanetMass,Stealler_magnitude,Discovery_Date
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
24 Sextantis c,235,0.86 Jupiters,6.4535,2010
55 Cancri e,41,7.99 Earths,5.95084,2004
55 Cancri e,41,7.99 Earths,5.95084,2004
BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-1 b,2570,1.03 Jupiters,13.623,2008
CoRoT-27 b,3296,10.39 Jupiters,15.774,2014
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
CoRoT-7 b,522,4.07661 Earths,11.728,2009
DMPP-1 c,204,9.6 Earths,7.98,2019
DMPP-1 c,204,9.6 Earths,7.98,2019
EPIC 206317286 b,1025,0.84 Earths,14.005,2019
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 b,798,7.72 Earths,12.101,2016
EPIC 220674823 b,798,7.72 Earths,12.101,2016
Epsilon Tauri b,155,7.6 Jupiters,3.523,2006
GJ 1061 c,12,1.74 Earths,12.7,2020
GJ 1061 c,12,1.74 Earths,12.7,2020
GJ 180 d,39,7.56 Earths,10.914,2020
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3138 b,93,1.78 Earths,10.8275,2017
GJ 3323 b,18,2.02 Earths,12.57,2017
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 357 d,31,6.1 Earths,10.91,2019
GJ 422 b,41,11.07 Earths,11.66,2014
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 581 b,21,15.8 Earths,10.57,2005
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 674 b,15,11.09 Earths,9.38,2007
GJ 720 A b,51,13.64 Earths,9.84,2021
GJ 720 A b,51,13.64 Earths,9.84,2021
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 49 b,32,5.63 Earths,9.56,2019
Gl 49 b,32,5.63 Earths,9.56,2019
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-22 b,267,2.47 Jupiters,9.763,2010
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
HAT-P-40 b,1515,0.48 Jupiters,11.34,2012
